TIMESTAMP,TA_F,SW_IN_F,VPD_F,GPP_NT_VUT_REF
20000127,-7.295,103.576,1.749,0.042656
20000128,-5.69,103.188,2.012,0.14798
20000129,-3.258,103.091,2.782,0.202376
20000130,-2.22,97.914,2.828,0.306389
20000131,-4.939,41.009,0.857,0.223324
20000201,-5.687,122.718,1.437,-0.0703889
20000202,-6.698,40.029,0.633,0.0580302
20000203,-3.903,30.103,0.112,0.0603846
20000204,-5.874,94.739,0.625,-0.140011
20000205,-7.195,130.785,0.817,-0.237273
20000206,-5.175,129.128,0.95,-0.10468
20000207,-6.523,137.908,1.085,-0.175214
20000208,-4.997,101.375,0.995,-0.0779705
20000209,-0.275,56.947,1.343,0.215509
20000210,-7.393,36.491,0.415,-0.111448
20000211,-14.627,142.793,0.534,-0.416077
20000212,-13.746,47.386,0.293,-0.31588
20000213,-11.543,84.711,0.331,-0.112419
20000214,-10.452,91.876,0.439,-0.185786
20000215,-7.609,10.901,0.106,0.0550397
20000216,-10.491,144.87,1.001,-0.225448
20000217,-8.296,72.525,1.018,-0.0591408
20000218,-3.329,105.636,1.548,0.0187324
20000219,-4.641,123.654,1.283,-0.00705469
20000220,-2.567,149.039,1.962,0.0326786
20000221,1.726,119.654,2.296,-0.0611708
20000222,4.906,138.726,1.981,0.00179606
20000223,4.988,30.411,1.303,-0.00901471
20000224,6.049,55.087,0.975,-0.0170366
20000225,5.177,33.393,0.659,-0.0207042
20000226,7.704,147.343,2.313,0.0404411
20000227,1.32,105.696,1.599,0.0874616
20000228,2.72,124.421,3.118,-0.0497593
20000229,8.476,132.713,4.243,0.14854
20000301,-1.273,39.806,1.089,-0.0134138
20000302,-0.959,175.325,2.34,-0.238836
20000303,3.689,184.371,4.506,-0.0869456
20000304,6.621,179.696,5.215,-0.168721
20000305,8.416,169.12,6.904,-0.25793
20000306,10.041,146.103,6.81,-0.0800928
20000307,16.4,184.255,9.44,-0.0102412
20000308,15.052,87.203,4.299,0.478601
20000309,-6.493,118.845,0.852,-0.728993
20000310,-4.31,191.82,1.826,-0.844186
20000311,-0.682,203.233,3.106,-0.486323
20000312,-1.987,190.82,2.751,-0.634951
20000313,-0.142,115.024,2.597,-0.024725
20000314,0.034,81.043,1.172,0.0767319
20000315,-2.349,73.213,1.225,0.0762743
20000316,-6.365,196.494,2.113,-0.563039
20000317,-2.782,194.303,2.995,-0.276519
20000318,0.178,81.939,1.69,0.143231
20000319,1.704,83.875,1.628,0.120554
20000320,3.935,63.039,1.869,0.0537721
20000321,5.101,51.011,1.266,0.0529537
20000322,7.227,98.91,1.358,0.166227
20000323,11.426,153.95,3.226,-0.0549072
20000324,8.516,45.506,0.398,-0.113133
20000325,5.379,138.02,3.067,0.113788
20000326,4.699,171.703,2.795,0.0423551
20000327,0.222,124.347,0.457,0.0893836
20000328,-1.606,59.474,0.152,0.1088
20000329,-0.507,128.735,0.663,0.103798
20000330,4.013,259.332,4.575,0.112452
20000331,9.707,199.64,6.921,0.147305
20000401,5.526,145.446,3.458,0.221706
20000402,8.422,158.158,5.236,0.097083
20000403,0.722,116.927,0.43,0.272303
20000404,-1.461,195.629,1.962,0.00252781
20000405,3.063,103.562,2.72,0.0419093
20000406,1.651,187.241,1.789,0.204451
20000407,-3.668,155.559,1.652,0.0849216
20000408,-0.533,251.867,2.875,-0.142202
20000409,0.176,229.094,2.208,0.0166141
20000410,-1.719,254.956,2.553,-0.0374888
20000411,-2.31,115.146,0.445,-0.0723025
20000412,-0.414,227.886,2.249,0.0563056
20000413,5.1,174.967,2.594,0.0198604
20000414,6.088,172.826,1.973,0.149827
20000415,-1.694,35.017,0.03,0.0166039
20000416,-2.112,64.795,0.072,-0.0488861
20000417,-1.085,52.681,0.066,-0.00304561
20000418,2.994,62.997,0.4,-0.0117739
20000419,4.35,100.109,1.802,-0.0258067
20000420,0.025,27.552,0.137,0.140142
20000421,5.513,310.356,5.165,0.0527549
20000422,10.256,186.453,6.818,0.179293
20000423,11.21,302.12,7.933,0.173075
20000424,12.121,285.943,9.382,0.305771
20000425,12.379,292.099,11.179,0.638022
20000426,15.347,258.99,12.663,0.297984
20000427,14.822,270.326,11.448,0.286775
20000428,5.377,88.411,1.646,0.513125
20000429,8.062,324.439,6.507,0.155266
20000430,12.146,272.376,5.383,1.038
20000501,8.892,195.765,2.093,1.4266
20000502,11.746,286.896,6.046,0.939524
20000503,17.811,307.013,11.44,0.876036
20000504,21.537,255.284,11.179,0.856365
20000505,22.892,304.758,12.861,0.901213
20000506,21.531,231.808,9.298,1.20917
20000507,20.309,214.035,5.068,1.31226
20000508,15.267,101.157,0.863,1.74352
20000509,10.141,213.514,3.984,3.14461
20000510,9.758,169.2,2.997,2.95971
20000511,11.398,50.987,0.857,1.6055
20000512,13.328,176.024,2.725,4.16044
20000513,4.578,139.605,0.939,3.22078
20000514,6.045,266.029,4.101,4.08595
20000515,11.127,235.019,6.418,4.68435
20000516,11.688,254.347,3.355,4.73166
20000517,10.82,127.161,1.294,3.98993
20000518,7.081,231.072,2.892,4.61237
20000519,8.248,341.713,5.817,4.80404
20000520,12.632,339.162,6.831,5.13099
20000521,12.121,167.02,1.934,4.85765
20000522,14.847,148.187,2.923,4.76734
20000523,15.823,278.333,6.484,6.45345
20000524,11.745,198.621,3.287,6.21009
20000525,11.438,349.563,4.828,7.57561
20000526,13.829,304.985,6.475,7.79973
20000527,10.96,134.425,2.441,5.85297
20000528,12.804,253.52,3.731,7.46166
20000529,14.281,254.16,3.901,8.92877
20000530,13.427,82.072,0.625,3.41203
20000531,16.207,276.828,6.109,8.25263
20000601,12.021,54.005,0.787,1.23443
20000602,10,187.023,1.823,9.17873
20000603,12.381,259.282,4.099,7.92577
20000604,9.892,81.938,0.772,4.99415
20000605,12.247,353.135,6.567,8.7287
20000606,15.513,341.395,7.539,8.99505
20000607,14.446,109.531,2.64,4.67281
20000608,22.556,294.298,10.223,10.4637
20000609,22.219,327.784,8.421,9.28031
20000610,21.2,176.537,2.82,10.4292
20000611,11.247,304.822,1.562,11.5566
20000612,13.712,298.373,2.85,11.1507
20000613,15.365,198.641,1.107,10.0459
20000614,16.154,116.915,1.232,7.67414
20000615,13.372,158.375,1.215,11.6137
20000616,11.666,147.287,1.094,11.0158
